City,Reporting Period,Total emissions (metric tonnes CO2e), GHG/Capita , Population ,Year Reported,Methodology/Protocol
Bærum Kommune,2016,"  232,468 ",  1.849 ,"  125,708 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Barreiro,2016,"  286,477 ",  3.637 ,"  78,764 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Boulder County,2016,"  3,998,878 ",  12.410 ,"  322,226 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Adelaide,2016,"  537,482 ",  22.474 ,"  23,916 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Amsterdam,2016,"  4,138,000 ",  4.957 ,"  834,713 ",2017,Other
City of Athens,2016,"  4,391,579 ",  6.613 ,"  664,046 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Austin,2016,"  12,527,277 ",  9.895 ,"  1,265,974 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Benicia,2016,"  122,688 ",  4.416 ,"  27,780 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Bloomington,2016,"  1,281,983 ",  15.250 ,"  84,067 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boston,2016,"  6,116,644 ",  9.091 ,"  672,840 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boulder,2016,"  1,598,862 ",  14.708 ,"  108,707 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Brownsville,2016,"  2,165,653 ",  11.777 ,"  183,887 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Buenos Aires,2016,"  13,100,079 ",  4.282 ,"  3,059,122 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Calgary,2016,"  17,679,137 ",  14.314 ,"  1,235,055 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Cape Town,2016,"  21,509,138 ",  5.152 ,"  4,174,510 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Charlottesville, VA",2016,"  343,796 ",  7.145 ,"  48,117 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Cleveland,2016,"  7,846,700 ",  19.774 ,"  396,815 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Denizli,2016,"  5,094,537 ",  4.957 ,"  1,027,782 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Denver,2016,"  8,238,021 ",  11.882 ,"  693,292 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Easton, PA",2016,"  350,900 ",  13.037 ,"  26,915 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Emeryville, CA",2016,"  160,428 ",  13.376 ,"  11,994 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Evanston, IL",2016,"  930,563 ",  12.309 ,"  75,603 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Fayetteville, AR",2016,"  1,454,781 ",  17.563 ,"  82,830 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Flagstaff,2016,"  1,424,563 ",  20.746 ,"  68,667 ",2017,Other: Excel
City of Fort Collins,2016,"  2,042,310 ",  12.685 ,"  161,000 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Gibraltar,2016,"  283,328 ",  8.234 ,"  34,408 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Guelph,2016,"  1,060,158 ",  8.044 ,"  131,794 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Helsinki,2016,"  2,789,724 ",  4.386 ,"  636,000 ",2017,Other
City of Indianapolis,2016,"  18,687,167 ",  21.414 ,"  872,680 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Iowa City,2016,"  933,127 ",  12.542 ,"  74,398 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Lancaster, PA",2016,"  364,181 ",  6.070 ,"  60,000 ",2017,International Emissions Analysis Protocol (ICLEI)
"City of London, ON",2016,"  2,911,300 ",  7.585 ,"  383,822 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Louisville, KY",2016,"  16,000,537 ",  20.749 ,"  771,158 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Manhattan Beach, CA",2016,"  224,717 ",  6.263 ,"  35,881 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Memphis,2016,"  16,061,257 ",  24.625 ,"  652,236 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Miami Beach, FL",2016,"  1,199,536 ",  13.050 ,"  91,917 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Minneapolis,2016,"  4,117,293 ",  9.804 ,"  419,952 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Ottawa,2016,"  6,017,000 ","  6,144.982 ",  979 ,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Palo Alto,2016,"  153,948 ",  2.316 ,"  66,478 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
"City of Park City, UT",2016,"  15,555 ",  1.976 ,"  7,873 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Philadelphia,2016,"  14,825,395 ",  9.534 ,"  1,555,072 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Phoenix,2016,"  15,447,037 ",  9.565 ,"  1,615,017 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Phoenix,2016,"  15,447,378 ",  9.304 ,"  1,660,272 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
"City of Piedmont, CA",2016,"  37,186 ",  3.268 ,"  11,378 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of San Antonio,2016,"  14,770,253 ",  10.049 ,"  1,469,845 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of San Francisco,2016,"  5,108,064 ",  5.865 ,"  870,887 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Somerville, MA",2016,"  612,200 ",  7.700 ,"  79,507 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of St Catharines, ON",2016,"  1,041,054 ",  7.923 ,"  131,400 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of St. Petersburg,2016,"  2,693,166 ",  10.125 ,"  266,000 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Stockholm,2016,"  1,823,388 ",  1.949 ,"  935,619 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Sydney,2016,"  3,717,748 ",  15.941 ,"  233,219 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Tacoma,2016,"  1,074,905 ",  4.970 ,"  216,279 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Toronto,2016,"  18,078,458 ",  6.618 ,"  2,731,571 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Wroclaw,2016,"  4,708,212 ",  7.373 ,"  638,600 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Communauté urbaine du Grand Nancy,2016,"  2,150,000 ",  8.113 ,"  265,000 ",2016,http://www.citepa.org/fr/activites/inventaires-des-emissions/secten
Comune di Venezia,2016,"  3,103,390 ",  11.849 ,"  261,905 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
District of Columbia,2016,"  7,270,052 ",  10.476 ,"  693,972 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Gemeente Rotterdam,2016,"  34,190,633 ",  54.793 ,"  624,000 ",2017,Other: We compute scope 1 emissions for city and port and also scope 2 for the built environment
Government of Hong Kong Special Administrative Region,2016,"  40,222,676 ",  5.398 ,"  7,451,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Greater Amman Municipality,2016,"  8,015,906 ",  2.004 ,"  4,000,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Halifax Regional Municipality,2016,"  5,351,364 ",  12.124 ,"  441,400 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Hobsons Bay City Council,2016,"  1,484,675 ",  15.390 ,"  96,470 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Hoeje-Taastrup Kommune,2016,"  275,461 ",  5.514 ,"  49,960 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Hørsholm Kommune,2016,"  167,808 ",  6.751 ,"  24,856 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Intendencia de Montevideo,2016,"  3,211,715 ",  2.327 ,"  1,380,432 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Iskandar Regional Development Authority,2016,"  15,560,000 ",  8.189 ,"  1,900,000 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Kaohsiung City Government,2016,"  36,056,822 ",  12.985 ,"  2,776,912 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Mahasarakham Municipality,2016,"  246,292 ",  4.942 ,"  49,841 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Melton City Council,2016,"  2,363,195 ",#DIV/0!,,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Mexico City,2016,"  32,087,694 ",  3.633 ,"  8,833,416 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Moroni City,2016,"  49,285 ",  1.231 ,"  40,050 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Moscow Government,2016,"  25,680,678 ",  2.083 ,"  12,330,126 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipalidad de Córdoba,2016,"  4,814,594 ",  3.367 ,"  1,430,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipality of Arendal,2016,"  167,179 ",  3.746 ,"  44,630 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Belo Horizonte,2016,"  4,393,301 ",  1.748 ,"  2,513,451 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipality of Curitiba,2016,"  3,505,046 ",  1.851 ,"  1,893,997 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipality of Curitiba,2016,"  4,345,663 ",  2.481 ,"  1,751,907 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipality of Recife,2016,"  2,394,390 ",  1.466 ,"  1,633,697 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
New Taipei City Government,2016,"  18,235,086 ",  4.574 ,"  3,986,689 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
New Taipei City Government,2016,"  20,144,995 ",  5.053 ,"  3,986,689 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
New York City,2016,"  51,735,403 ",  6.060 ,"  8,537,673 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Palmerston North City Council,2016,"  570,666 ",  6.537 ,"  87,300 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura de Aracaju,2016,"  1,128,628 ",  1.759 ,"  641,523 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura de Londrina,2016,"  1,122,693 ",  2.010 ,"  558,439 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura Municipal de São José dos Campos,2016,"  4,246,921 ",  5.949 ,"  713,943 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Región Metropolitana de Santiago,2016,"  23,173,131 ",  2.852 ,"  8,125,072 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Región Metropolitana de Santiago,2016,,  -   ,"  7,915,199 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Stadt Zürich,2016,"  1,374,757 ",  3.248 ,"  423,310 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Suwon City,2016,"  5,736,865 ",  4.618 ,"  1,242,212 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Taichung City Government,2016,"  23,195,411 ",  8.307 ,"  2,792,164 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Taipei City Government,2016,"  12,391,612 ",  4.618 ,"  2,683,257 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
The Hague,2016,"  1,695,093 ",  3.224 ,"  525,745 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
The Local Government of Quezon City,2016,"  8,014,366 ",  2.575 ,"  3,112,436 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Tokyo Metropolitan Government,2016,"  57,996,872 ",  4.185 ,"  13,857,443 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Town of Blacksburg,2016,"  334,388 ",  7.504 ,"  44,563 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Village of Kadiovacik,2016,  413 ,  1.894 ,  218 ,2017,Other: GHG Protocols
Ville de Laval,2016,"  2,220,901 ",  5.077 ,"  437,413 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ville de Salaberry-de-Valleyfield,2016,"  435,594 ",  10.649 ,"  40,905 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Wollongong City Council,2016,"  3,091,346 ",  14.307 ,"  216,071 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Wyndham City Council,2016,"  3,402,007 ",  13.324 ,"  255,322 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ajuntament de Barcelona,2017,"  2,812,730 ",  1.736 ,"  1,620,343 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ayuntamiento de Madrid,2017,"  9,738,746 ",  2.982 ,"  3,266,126 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Bogotá Distrito Capital,2017,"  17,672,009 ",  2.215 ,"  7,980,001 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
City of Aspen,2017,"  305,319 ",  33.913 ,"  9,003 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Athens,2017,"  3,537,650 ",  5.327 ,"  664,046 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Austin,2017,"  11,524,547 ",  9.392 ,"  1,227,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Boston,2017,"  6,146,099 ",  8.998 ,"  683,015 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Calgary,2017,"  18,378,045 ",  14.747 ,"  1,246,231 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Cape Town,2017,"  21,145,125 ",  5.006 ,"  4,223,565 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Columbus,2017,"  10,629,141 ",  12.358 ,"  860,090 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Easton, PA",2017,"  344,370 ",  12.756 ,"  26,996 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Edmonton,2017,"  15,411,583 ",  16.223 ,"  950,000 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Espoo,2017,"  1,143,000 ",  4.096 ,"  279,044 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Eugene,2017,"  1,641,401 ",  9.895 ,"  165,885 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Fort Collins,2017,"  2,043,293 ",  12.199 ,"  167,492 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Goiânia,2017,"  2,016,320 ",  1.549 ,"  1,301,892 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
City of Hamilton,2017,"  8,167,864 ",  14.627 ,"  558,397 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Helsinki,2017,"  2,668,060 ",  4.138 ,"  644,700 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Hvidovre,2017,"  245,337 ",  4.684 ,"  52,380 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Leicester,2017,"  1,486,786 ",  4.205 ,"  353,540 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Melbourne,2017,"  4,678,193 ",  30.945 ,"  151,176 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of New Bedford, MA",2017,"  480,493 ",  5.051 ,"  95,120 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Portland, OR",2017,"  7,701,120 ",  9.536 ,"  807,555 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Reykjavìk,2017,"  354,641 ",  2.878 ,"  123,246 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of San Francisco,2017,"  5,005,861 ",  5.660 ,"  884,363 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Stockholm,2017,"  1,715,597 ",  1.806 ,"  949,761 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Sydney,2017,"  3,677,319 ",  15.308 ,"  240,229 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Vancouver,2017,"  2,698,097 ",  4.273 ,"  631,486 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Wroclaw,2017,"  4,654,742 ",  7.266 ,"  640,600 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Comune di Milano,2017,"  5,266,149 ",  3.750 ,"  1,404,431 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Gemeente Groningen,2017,"  859,000 ",  4.284 ,"  200,500 ",2017,Other
Gladsaxe Kommune,2017,"  332,767 ",  4.838 ,"  68,775 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Helsingør Kommune / Elsinore Municipality,2017,"  216,124 ",  3.448 ,"  62,686 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Hoeje-Taastrup Kommune,2017,"  252,209 ",  5.019 ,"  50,246 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Iskandar Regional Development Authority,2017,"  16,200,490 ",  7.751 ,"  2,090,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Khon Kaen City,2017,"  395,193 ",  3.314 ,"  119,265 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Malmö Stad,2017,"  863,749 ",  2.589 ,"  333,633 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Mornington Peninsula Shire,2017,"  1,858,540 ",  11.554 ,"  160,862 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipio de Iztapa,2017,"  63,925 ",  5.364 ,"  11,917 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Nagpur,2017,"  2,849,470 ",  1.184 ,"  2,405,665 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura de São Paulo,2017,"  16,130,962 ",  1.433 ,"  11,253,503 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Seoul Metropolitan Government,2017,"  46,685,000 ",  4.663 ,"  10,010,983 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Steve Tshwete,2017,"  3,967,565 ",  14.233 ,"  278,749 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Taichung City Government,2017,"  62,173,728 ",  22.174 ,"  2,803,894 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Tel Aviv-Yafo Municipality,2017,"  2,635,614 ",  6.006 ,"  438,820 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
The Hague,2017,"  1,552,832 ",  2.881 ,"  539,040 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Tokyo Metropolitan Government,2017,"  57,176,147 ",  4.098 ,"  13,951,636 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Town of Wellfleet,2017,"  20,315 ",  5.804 ,"  3,500 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Town of Wellfleet,2017,,  -   ,"  3,500 ",2018,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ajuntament de Barcelona,2018,"  2,835,426 ",  1.732 ,"  1,636,762 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Austin,2018,"  11,998,240 ",  12.443 ,"  964,254 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Berkeley,2018,"  541,975 ",  4.455 ,"  121,643 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Bloomington,2018,"  1,639,657 ",  19.120 ,"  85,755 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Calgary,2018,"  18,438,546 ",  14.549 ,"  1,267,344 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Columbus,2018,"  10,848,255 ",  12.154 ,"  892,533 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Edmonton,2018,"  15,936,756 ",  16.262 ,"  980,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Lakewood,2018,"  1,480,119 ",  9.549 ,"  155,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Minneapolis,2018,"  4,299,864 ",  10.181 ,"  422,331 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Orlando,2018,"  6,994,170 ",  24.956 ,"  280,258 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Port Phillip,2018,"  1,423,300 ",  12.312 ,"  115,601 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Sarasota,2018,"  668,763 ",  11.942 ,"  56,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Sydney,2018,"  3,682,686 ",  14.750 ,"  249,676 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Vancouver,2018,"  2,551,251 ",  3.970 ,"  642,686 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Windsor,2018,"  2,111,433 ",  9.032 ,"  233,763 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Government of Hong Kong Special Administrative Region,2018,"  38,880,267 ",  5.179 ,"  7,507,400 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Greater Amman Municipality,2018,"  10,955,210 ",  2.883 ,"  3,800,000 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipality of Tópaga,2018,"  10,385,660 ","  2,625.293 ","  3,956 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
New Taipei City Government,2018,"  19,464,204 ",  4.843 ,"  4,018,696 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Sofia Municipality,2018,"  4,628,030 ",  3.127 ,"  1,479,902 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
The Hague,2018,"  1,519,207 ",  2.778 ,"  546,847 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
"Town of Dedham, MA",2018,"  70,700 ",  2.786 ,"  25,377 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Wellington City Council,2018,"  953,146 ",  4.530 ,"  210,400 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
